카드종류,신용카드사명,신용카드번호,승인일자,사업자등록번호,거래처명,거래처유형,공급가액,세액,봉사료,합계금액,부가세공제여부,부가세유형,계정과목,품목(적요),수 량,단 가,대표자,업 태,종 목,사업장주소,부서/사원
1,,본인77*,2025/07/25,528-40-01390,이마트24 거제농소바다점,,13090,1310,,14400,공제,57,811,"이마트24 거제농소바다점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/25,325-15-02177,하이오커피 온천시장점,,3636,364,,4000,공제,57,811,"하이오커피 온천시장점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/25,113-81-44055,(주)카카오,,27272,2728,,30000,공제,57,811,"(주)카카오 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/26,691-05-00780,세븐일레븐 초량오거리점,,7363,737,,8100,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/26,313-87-00979,롯데시네마 광복 (온라인 티켓),,0,0,,0,공제,57,811,"롯데시네마 광복 (온라인 티켓) 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/26,105-87-65162,쿠팡,,21727,2173,,23900,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/27,105-87-65162,쿠팡,,13181,1319,,14500,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/26,105-87-65162,쿠팡,,7563,757,,8320,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/27,105-87-65162,쿠팡,,600,60,,660,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/26,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/27,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/27,105-87-65162,쿠팡이츠,,14090,1400,,15500,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/27,220-81-55597,(주)카카오,,9090,910,,10000,공제,57,811,"(주)카카오 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/27,460-04-01612,CU 뉴범천한라점,,47263,4727,,51990,공제,57,811,"CU 뉴범천한라점 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/07/28,213-81-52063,주식회사 아성다이소,,4545,455,,5000,공제,57,811,"주식회사 아성다이소 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/28,708-28-01198,킹프레소 초량부산점,,1818,182,,2000,공제,57,811,"킹프레소 초량부산점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/28,471-38-01126,아이스크림 할인,,9818,982,,10800,공제,57,811,"아이스크림 할인 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/28,411-86-01799,(주)우아한형제들,,24545,2455,,27000,공제,57,811,"(주)우아한형제들 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/29,105-87-65162,쿠팡,,30381,3039,,33420,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/29,105-87-65162,쿠팡,,13090,1310,,14400,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/29,105-87-65162,쿠팡이츠,,28272,2828,,31100,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/30,105-87-65162,쿠팡이츠,,28181,2819,,31000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/30,105-87-65162,쿠팡이츠,,21727,2173,,23900,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/30,105-87-65162,쿠팡이츠,,15454,1546,,17000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/31,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/31,113-81-44055,(주)카카오,,9090,910,,10000,공제,57,811,"(주)카카오 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/30,119-86-23709,주식회사 비지에프네트웍스,,1636,164,,1800,공제,57,811,"주식회사 비지에프네트웍스 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,404-85-11763,(주)푸드엔 서면지점,,31000,3105,,34050,공제,57,811,"(주)푸드엔 서면지점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,605-90-83898,연세정형외과,,7000,0,,7000,공제,58,811,"연세정형외과 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,220-81-55597,(주)카카오,,9090,910,,10000,공제,57,811,"(주)카카오 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,815-81-00527,에이블리코퍼레이션,,55181,5519,,60700,공제,57,811,"에이블리코퍼레이션 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/08/01,815-81-00527,에이블리 코퍼레이션,,9000,900,,9900,공제,57,811,"에이블리 코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,815-81-00527,에이블리코퍼레이션,,34445,3445,,37890,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,815-81-00527,에이블리코퍼레이션,,17254,1726,,18980,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/02,411-86-01799,(주)카카오,,18181,1819,,20000,공제,57,811,"(주)카카오 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/02,815-81-00527,에이블리코퍼레이션,,6272,628,,6900,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/02,815-81-00527,에이블리코퍼레이션,,18000,1800,,19800,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/03,691-05-00780,세븐일레븐 초량오거리점,,6000,600,,6600,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/02,105-87-65162,쿠팡(쿠페이),,7172,718,,7890,공제,57,811,"쿠팡(쿠페이) 카드사용 (일시불)",,,,,,,,
